requirement_id,country,exact_jurisdiction,canonical_capability_id,canonical_capability_key,source_text_matches_yes_no,requirement_interpretation_approved_yes_no,exemption_transition_approved_yes_no,jurisdiction_scope_approved_yes_no,required_correction,verifier_full_name,professional_role_bar_or_qualification,verifier_jurisdiction,signed_approval_reference,verification_date,expiry_review_date,decision_after_review
DE-BE-BERLIN-CAP-34,DE,DE-BE-BERLIN,34,tr.automotive.mechanic,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-35,DE,DE-BE-BERLIN,35,tr.automotive.electromechanic,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-36,DE,DE-BE-BERLIN,36,tr.automotive.tire,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-37,DE,DE-BE-BERLIN,37,tr.automotive.body_and_paint,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-38,DE,DE-BE-BERLIN,38,tr.automotive.authorized_service_claim,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-30001,DE,DE-BE-BERLIN,30001,towing,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-30003,DE,DE-BE-BERLIN,30003,courier,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-30004,DE,DE-BE-BERLIN,30004,roadside,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60001,DE,DE-BE-BERLIN,60001,tr-gold-cleaning-1-standart-ev-temizligi,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60002,DE,DE-BE-BERLIN,60002,tr-gold-plumbing-1-s-hhi-tesisat-montaj-yeni-hat-armatur,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60003,DE,DE-BE-BERLIN,60003,tr-gold-plumbing-2-bak-m-ar-za-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60004,DE,DE-BE-BERLIN,60004,tr-gold-plumbing-3-su-sayac-muhurlu-idare-ekipman,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60005,DE,DE-BE-BERLIN,60005,tr-gold-electrical-1-konut-ic-tesisat-priz-anahtar-ayd-nlatma-ar-za,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60006,DE,DE-BE-BERLIN,60006,tr-gold-electrical-2-pano-yeni-esasl-tesisat-proje-yetki-s-n-r-doguran-is,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60007,DE,DE-BE-BERLIN,60007,tr-gold-electrical-3-elektrik-sayac-muhurlu-dag-t-m-ekipman,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60008,DE,DE-BE-BERLIN,60008,tr-gold-painting-1-ic-d-s-cephe-insaat-boyac-l-g,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60009,DE,DE-BE-BERLIN,60009,tr-gold-air_conditioning-1-filtre-d-s-temizlik-sogutucu-devreye-mudahale-yok,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60010,DE,DE-BE-BERLIN,60010,tr-gold-air_conditioning-2-montaj-demontaj-servis,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60011,DE,DE-BE-BERLIN,60011,tr-gold-air_conditioning-3-sogutucu-gaz-devresi-vakum-sarj-geri-kazan-m-kacak,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60012,DE,DE-BE-BERLIN,60012,tr-gold-heating-1-s-tma-tesisat-bak-m-onar-m-servis,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60013,DE,DE-BE-BERLIN,60013,tr-gold-heating-2-gaz-yak-c-cihaz-kombi-servis,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60014,DE,DE-BE-BERLIN,60014,tr-gold-heating-3-dogal-gaz-ic-tesisat-borulama-baglant-test-bak-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60015,DE,DE-BE-BERLIN,60015,tr-gold-moving-1-yurtici-ticari-ev-ve-buro-esyas-tas-ma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60016,DE,DE-BE-BERLIN,60016,tr-gold-moving-2-uluslararas-yurtici-ticari-ev-buro-esyas,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60017,DE,DE-BE-BERLIN,60017,tr-gold-moving-3-yurtici-genel-ticari-esya-ev-buro-d-s,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60018,DE,DE-BE-BERLIN,60018,tr-gold-moving-4-asansorlu-nakliye-mobil-vinc-kald-rma-ekipman,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60019,DE,DE-BE-BERLIN,60019,tr-gold-locksmith-1-anahtar-cogaltma-kilit-montaj-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60020,DE,DE-BE-BERLIN,60020,tr-gold-locksmith-2-konut-isyeri-acil-kap-acma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60021,DE,DE-BE-BERLIN,60021,tr-gold-locksmith-3-arac-kilidi-acma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60022,DE,DE-BE-BERLIN,60022,tr-gold-towing-1-ticari-arac-kurtarma-cekme-tas-ma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60023,DE,DE-BE-BERLIN,60023,tr-gold-roadside_assistance-1-aku-takviyesi-basit-destek,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60024,DE,DE-BE-BERLIN,60024,tr-gold-roadside_assistance-2-lastik-jant-bak-m-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60025,DE,DE-BE-BERLIN,60025,tr-gold-roadside_assistance-3-yol-ustu-mekanik-ar-za-tespit-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60026,DE,DE-BE-BERLIN,60026,tr-gold-roadside_assistance-4-arac-cekme-kurtarma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60027,DE,DE-BE-BERLIN,60027,tr-gold-roadside_assistance-5-arac-kilidi-acma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60028,DE,DE-BE-BERLIN,60028,tr-gold-roadside_assistance-6-yolda-yak-t-ulast-rma,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60029,DE,DE-BE-BERLIN,60029,tr-gold-courier-1-ilici-motorlu-kurye,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60030,DE,DE-BE-BERLIN,60030,tr-gold-courier-2-yurtici-genis-kapsam-dag-t-m-kurye,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60031,DE,DE-BE-BERLIN,60031,tr-gold-courier-3-yaya-bisikletli-kurye,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60032,DE,DE-BE-BERLIN,60032,tr-gold-furniture-1-haz-r-mobilya-dekorasyon-montaj,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60033,DE,DE-BE-BERLIN,60033,tr-gold-furniture-2-ahsap-mobilya-imalat-imalat-kapsaml-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60034,DE,DE-BE-BERLIN,60034,tr-gold-automotive-1-motor-mekanik-bak-m-ar-za-tespit-ve-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60035,DE,DE-BE-BERLIN,60035,tr-gold-automotive-2-otomotiv-elektrik-elektronik-elektromekanik,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60036,DE,DE-BE-BERLIN,60036,tr-gold-automotive-3-lastik-jant,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60037,DE,DE-BE-BERLIN,60037,tr-gold-automotive-4-govde-kaporta-boya-onar-m,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-60038,DE,DE-BE-BERLIN,60038,tr-gold-automotive-5-marka-yetkili-servis-iddias,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
