source_key,authority_issuer,law_or_regulation_title_as_captured,section_article_class_exception,effective_date_text,research_retrieved_at,official_url,archive_reference,archive_file_sha256,source_status,bound_requirement_bundles,bound_coverage_rows,source_unverified_reason,local_counsel_question
"US-BSIS-LOCK","California BSIS","US-BSIS-LOCK","Research source: Locksmith company and employee facts","","Sun Aug 23 2026 23:14:10 GMT+0000 (Coordinated Universal Time)","https://www.bsis.ca.gov/forms_pubs/locksmith_fact.shtml","mf5-v2-research:US-BSIS-LOCK:03d57cf303aea724ed64822fd669fe8c97ee697d33876d71c88dd92c7cf47663","03d57cf303aea724ed64822fd669fe8c97ee697d33876d71c88dd92c7cf47663","SOURCE_UNVERIFIED","[""US-CA-LOCKSMITH""]","[""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BSIS-VERIFY","California BSIS","US-BSIS-VERIFY","Research source: Verify a license","","Sun Aug 23 2026 23:14:11 GMT+0000 (Coordinated Universal Time)","https://www.bsis.ca.gov/forms_pubs/online_services/verify_license.shtml","mf5-v2-research:US-BSIS-VERIFY:e6488a6f04e957163973216f5f4ffe0908eae258280c8fc0f4b1ec626f53c0e5","e6488a6f04e957163973216f5f4ffe0908eae258280c8fc0f4b1ec626f53c0e5","SOURCE_UNVERIFIED","[""US-CA-ALARM"",""US-CA-LOCKSMITH""]","[""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-CAMTC","California Massage Therapy Council","US-CAMTC","Research source: Certification FAQ","","Sun Aug 23 2026 23:14:11 GMT+0000 (Coordinated Universal Time)","https://www.camtc.org/faqs/","mf5-v2-research:US-CAMTC:294a315c27fe25a9558170b3fbae732ff868faf476370e7b6b1fc910d827361f","294a315c27fe25a9558170b3fbae732ff868faf476370e7b6b1fc910d827361f","SOURCE_UNVERIFIED","[""US-CA-MASSAGE""]","[""US-CA-LOS_ANGELES:personal-care:massage""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-CSLB-CLASS","California CSLB","US-CSLB-CLASS","Research source: Contractor licence classifications","","Sun Aug 23 2026 23:14:12 GMT+0000 (Coordinated Universal Time)","https://www2.cslb.ca.gov/about_us/library/licensing_classifications/","mf5-v2-research:US-CSLB-CLASS:40495eac84c80c8cb4b11aeb95ecfa12effafffc5cdaca4f115b36499b01b7ef","40495eac84c80c8cb4b11aeb95ecfa12effafffc5cdaca4f115b36499b01b7ef","SOURCE_UNVERIFIED","[""US-CA-ALARM"",""US-CA-C10"",""US-CA-C20-C38"",""US-CA-C36"",""US-CA-CONTRACTOR-CLASS"",""US-CA-GARDEN"",""US-CA-HOME-REPAIR"",""US-CA-PAINT""]","[""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-CSLB-TRIGGER","California CSLB","US-CSLB-TRIGGER","Research source: What Kind of Contractor Do You Need?","","Sun Aug 23 2026 23:14:13 GMT+0000 (Coordinated Universal Time)","https://www.cslb.ca.gov/Consumers/Hire_A_Contractor/What_Kind_Of_Contractor.aspx","mf5-v2-research:US-CSLB-TRIGGER:c95d549b74d05050b44a27b3d8abc457ef18f1bf6691c588271cd9e054063aca","c95d549b74d05050b44a27b3d8abc457ef18f1bf6691c588271cd9e054063aca","SOURCE_UNVERIFIED","[""US-CA-CONTRACTOR-CLASS"",""US-CA-HOME-REPAIR""]","[""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-CSLB-VERIFY","California CSLB","US-CSLB-VERIFY","Research source: Contractor data portal","","Sun Aug 23 2026 23:14:14 GMT+0000 (Coordinated Universal Time)","https://www.cslb.ca.gov/Onlineservices/DataPortal/ListByClassification.aspx","mf5-v2-research:US-CSLB-VERIFY:0975dde4b8f3e893d641d17b477d75a6600c16d76509add477b825ff26c64d28","0975dde4b8f3e893d641d17b477d75a6600c16d76509add477b825ff26c64d28","SOURCE_UNVERIFIED","[""US-CA-ASBESTOS"",""US-CA-C10"",""US-CA-C20-C38"",""US-CA-C36"",""US-CA-CONTRACTOR-CLASS"",""US-CA-GARDEN"",""US-CA-HOME-REPAIR"",""US-CA-PAINT""]","[""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup"",""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DCA-LOOKUP","California DCA","US-DCA-LOOKUP","Research source: License search","","Sun Aug 23 2026 23:14:14 GMT+0000 (Coordinated Universal Time)","https://search.dca.ca.gov/","mf5-v2-research:US-DCA-LOOKUP:da8882518c9b5f0edd1ae73b08245c468c7319a9b42b38a01ced40b43643dc2a","da8882518c9b5f0edd1ae73b08245c468c7319a9b42b38a01ced40b43643dc2a","SOURCE_UNVERIFIED","[""US-CA-PERSONAL""]","[""US-CA-LOS_ANGELES:personal-care:hair-care"",""US-CA-LOS_ANGELES:personal-care:makeup"",""US-CA-LOS_ANGELES:personal-care:nail-care""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DIR-ASBESTOS","California DIR","US-DIR-ASBESTOS","Research source: Asbestos registration","","Sun Aug 23 2026 23:14:15 GMT+0000 (Coordinated Universal Time)","https://www.dir.ca.gov/dosh/asbestos.html","mf5-v2-research:US-DIR-ASBESTOS:fa552dff0b985fc061761c97a176dd99d365f1c7eefb777db40b2b1ed5b9072a","fa552dff0b985fc061761c97a176dd99d365f1c7eefb777db40b2b1ed5b9072a","SOURCE_UNVERIFIED","[""US-CA-ASBESTOS""]","[""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DMV-CDL","California DMV","US-DMV-CDL","Research source: Commercial driver licence classes","","Sun Aug 23 2026 23:14:16 GMT+0000 (Coordinated Universal Time)","https://www.dmv.ca.gov/portal/driver-licenses-identification-cards/commercial-driver-licenses-cdl/commercial-driver-license-classes-certifications/","mf5-v2-research:US-DMV-CDL:c64227c168cb624ecfd611e813cc565317543bf72ef0b93b299d67671019c7de","c64227c168cb624ecfd611e813cc565317543bf72ef0b93b299d67671019c7de","SOURCE_UNVERIFIED","[""US-CA-HHG-MOVER"",""US-CA-MCP"",""US-CA-ROAD-BASIC"",""US-CA-TOW"",""US-FMCSA-MOVER""]","[""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery"",""US-CA-LOS_ANGELES:roadside:battery-jump"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:fuel-delivery"",""US-CA-LOS_ANGELES:roadside:minor-repair"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DMV-MCP","California DMV","US-DMV-MCP","Research source: Motor Carrier Permits","","Sun Aug 23 2026 23:14:17 GMT+0000 (Coordinated Universal Time)","https://www.dmv.ca.gov/portal/vehicle-industry-services/motor-carrier-services-mcs/motor-carrier-permits/","mf5-v2-research:US-DMV-MCP:616027d6221b84bbc0b8c2d436f640f802ce3b6167d8cb44d8ba0cc7537bed2b","616027d6221b84bbc0b8c2d436f640f802ce3b6167d8cb44d8ba0cc7537bed2b","SOURCE_UNVERIFIED","[""US-CA-MCP"",""US-CA-TOW""]","[""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:roadside:battery-jump"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:fuel-delivery"",""US-CA-LOS_ANGELES:roadside:minor-repair""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DMV-TTD","California DMV","US-DMV-TTD","Research source: Driver licence certificates and endorsements","","Sun Aug 23 2026 23:14:17 GMT+0000 (Coordinated Universal Time)","https://www.dmv.ca.gov/portal/driver-education-and-safety/dmv-safety-guidelines-actions/driver-license-certificates-and-endorsements/","mf5-v2-research:US-DMV-TTD:645e5daa014dbb85ca5ed71cbfa5020418d5ce63fdfffb63c71a9820251dde6d","645e5daa014dbb85ca5ed71cbfa5020418d5ce63fdfffb63c71a9820251dde6d","SOURCE_UNVERIFIED","[""US-CA-TOW""]","[""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:roadside:battery-jump"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:fuel-delivery"",""US-CA-LOS_ANGELES:roadside:minor-repair""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-DPR-PEST","California DPR","US-DPR-PEST","Research source: Current licence lists","","Sun Aug 23 2026 23:14:18 GMT+0000 (Coordinated Universal Time)","https://apps.cdpr.ca.gov/docs/license/currlic.cfm","mf5-v2-research:US-DPR-PEST:1551d009f2dc46b0aaf2bb2fa7d20aafa6378d79d3e50fd44b0151004188742b","1551d009f2dc46b0aaf2bb2fa7d20aafa6378d79d3e50fd44b0151004188742b","SOURCE_UNVERIFIED","[""US-CA-GARDEN""]","[""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:gardening:irrigation""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-EPA-608","US EPA","US-EPA-608","Research source: Section 608 Technician Certification","","Sun Aug 23 2026 23:14:19 GMT+0000 (Coordinated Universal Time)","https://www.epa.gov/section608/section-608-technician-certification-requirements","mf5-v2-research:US-EPA-608:85d0f527f246912a98e18bd3c246e04604b299d3276267639f96f76d4fc9fe2e","85d0f527f246912a98e18bd3c246e04604b299d3276267639f96f76d4fc9fe2e","SOURCE_UNVERIFIED","[""US-EPA-608""]","[""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:appliance:refrigerator""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-EPA-RRP","US EPA","US-EPA-RRP","Research source: Renovation, Repair and Painting Program","","Sun Aug 23 2026 23:14:20 GMT+0000 (Coordinated Universal Time)","https://www.epa.gov/lead/renovation-repair-and-painting-program-contractors","mf5-v2-research:US-EPA-RRP:a18e806414ceaab279fc19c83443a842d66a3a23f6699d5bb890ff162a4fb8e8","a18e806414ceaab279fc19c83443a842d66a3a23f6699d5bb890ff162a4fb8e8","SOURCE_UNVERIFIED","[""US-EPA-RRP""]","[""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-FMCSA-AUTH","FMCSA","US-FMCSA-AUTH","Research source: Operating authority","","Sun Aug 23 2026 23:14:20 GMT+0000 (Coordinated Universal Time)","https://www.fmcsa.dot.gov/registration/get-mc-number-authority-operate","mf5-v2-research:US-FMCSA-AUTH:9ee401195852c4d7df7872f35280ebe95a48b1469d9adc46043f94b424381bd7","9ee401195852c4d7df7872f35280ebe95a48b1469d9adc46043f94b424381bd7","SOURCE_UNVERIFIED","[""US-FMCSA-MOVER""]","[""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-FMCSA-MOVER","FMCSA","US-FMCSA-MOVER","Research source: Search for a registered mover","","Sun Aug 23 2026 23:14:21 GMT+0000 (Coordinated Universal Time)","https://www.fmcsa.dot.gov/protect-your-move/search-mover","mf5-v2-research:US-FMCSA-MOVER:fc6ad1e18019b08d1b35d9241c801257ca28fdd63e43ed1e035d69ceba3dbdba","fc6ad1e18019b08d1b35d9241c801257ca28fdd63e43ed1e035d69ceba3dbdba","SOURCE_UNVERIFIED","[""US-FMCSA-MOVER""]","[""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
