"capability_id","capability_key","capability_name","current_catalog_status","readiness_classification","reason","owner_release_eligible","country_effective_state"
"22","tr.towing.commercial_recovery","Çekici — Ticari araç kurtarma/çekme/taşıma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"23","tr.roadside_assistance.battery_jump","Yol Yardım — Akü takviyesi/basit destek","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"24","tr.roadside_assistance.tire_service","Yol Yardım — Lastik/jant bakım-onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"25","tr.roadside_assistance.roadside_mechanic","Yol Yardım — Yol üstü mekanik arıza tespit/onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"26","tr.roadside_assistance.vehicle_recovery","Yol Yardım — Araç çekme/kurtarma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"27","tr.roadside_assistance.vehicle_unlock","Yol Yardım — Araç kilidi açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"28","tr.roadside_assistance.fuel_delivery","Yol Yardım — Yolda yakıt ulaştırma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"29","tr.courier.urban_motor_courier","Kurye & Evrak — İliçi motorlu kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"30","tr.courier.national_courier","Kurye & Evrak — Yurtiçi geniş kapsam dağıtım/kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"31","tr.courier.pedestrian_or_bicycle","Kurye & Evrak — Yaya/bisikletli kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"32","tr.furniture.assembly","Mobilya & Montaj — Hazır mobilya/dekorasyon montajı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"33","tr.furniture.wood_manufacturing","Mobilya & Montaj — Ahşap mobilya imalatı/imalat kapsamlı onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"34","tr.automotive.mechanic","Otomotiv / Motor Ustası — Motor/mekanik bakım, arıza tespit ve onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"35","tr.automotive.electromechanic","Otomotiv / Motor Ustası — Otomotiv elektrik/elektronik/elektromekanik","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"36","tr.automotive.tire","Otomotiv / Motor Ustası — Lastik/jant","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"37","tr.automotive.body_and_paint","Otomotiv / Motor Ustası — Gövde/kaporta/boya onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"38","tr.automotive.authorized_service_claim","Otomotiv / Motor Ustası — Marka yetkili servis iddiası","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"30001","towing","Çekici","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"30003","courier","Kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"30004","roadside","Yol Yardımı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60001","tr-gold-cleaning-1-standart-ev-temizligi","Temizlik — Standart ev temizliği","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60002","tr-gold-plumbing-1-s-hhi-tesisat-montaj-yeni-hat-armatur","Su Tesisatı — Sıhhi tesisat montajı / yeni hat / armatür","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60003","tr-gold-plumbing-2-bak-m-ar-za-onar-m","Su Tesisatı — Bakım / arıza / onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60004","tr-gold-plumbing-3-su-sayac-muhurlu-idare-ekipman","Su Tesisatı — Su sayacı / mühürlü-idare ekipmanı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60005","tr-gold-electrical-1-konut-ic-tesisat-priz-anahtar-ayd-nlatma-ar-za","Elektrik — Konut iç tesisat / priz / anahtar / aydınlatma / arıza","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60006","tr-gold-electrical-2-pano-yeni-esasl-tesisat-proje-yetki-s-n-r-doguran-is","Elektrik — Pano / yeni-esaslı tesisat / proje-yetki sınırı doğuran iş","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60007","tr-gold-electrical-3-elektrik-sayac-muhurlu-dag-t-m-ekipman","Elektrik — Elektrik sayacı / mühürlü dağıtım ekipmanı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60008","tr-gold-painting-1-ic-d-s-cephe-insaat-boyac-l-g","Boya & Badana — İç/dış cephe inşaat boyacılığı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60009","tr-gold-air_conditioning-1-filtre-d-s-temizlik-sogutucu-devreye-mudahale-yok","Klima — Filtre/dış temizlik – soğutucu devreye müdahale yok","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60010","tr-gold-air_conditioning-2-montaj-demontaj-servis","Klima — Montaj / demontaj / servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60011","tr-gold-air_conditioning-3-sogutucu-gaz-devresi-vakum-sarj-geri-kazan-m-kacak","Klima — Soğutucu gaz devresi / vakum / şarj / geri kazanım / kaçak","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60012","tr-gold-heating-1-s-tma-tesisat-bak-m-onar-m-servis","Kombi & Isıtma — Isıtma tesisatı bakım-onarım/servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60013","tr-gold-heating-2-gaz-yak-c-cihaz-kombi-servis","Kombi & Isıtma — Gaz yakıcı cihaz/kombi servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60014","tr-gold-heating-3-dogal-gaz-ic-tesisat-borulama-baglant-test-bak-m","Kombi & Isıtma — Doğal gaz iç tesisat borulama/bağlantı/test/bakım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60015","tr-gold-moving-1-yurtici-ticari-ev-ve-buro-esyas-tas-ma","Nakliyat — Yurtiçi ticari ev ve büro eşyası taşıma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60016","tr-gold-moving-2-uluslararas-yurtici-ticari-ev-buro-esyas","Nakliyat — Uluslararası + yurtiçi ticari ev/büro eşyası","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60017","tr-gold-moving-3-yurtici-genel-ticari-esya-ev-buro-d-s","Nakliyat — Yurtiçi genel ticari eşya (ev/büro dışı)","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60018","tr-gold-moving-4-asansorlu-nakliye-mobil-vinc-kald-rma-ekipman","Nakliyat — Asansörlü nakliye / mobil vinç-kaldırma ekipmanı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60019","tr-gold-locksmith-1-anahtar-cogaltma-kilit-montaj-onar-m","Çilingir — Anahtar çoğaltma / kilit montaj-onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60020","tr-gold-locksmith-2-konut-isyeri-acil-kap-acma","Çilingir — Konut/işyeri acil kapı açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60021","tr-gold-locksmith-3-arac-kilidi-acma","Çilingir — Araç kilidi açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60022","tr-gold-towing-1-ticari-arac-kurtarma-cekme-tas-ma","Çekici — Ticari araç kurtarma / çekme / taşıma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60023","tr-gold-roadside_assistance-1-aku-takviyesi-basit-destek","Yol Yardım — Akü takviyesi / basit destek","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60024","tr-gold-roadside_assistance-2-lastik-jant-bak-m-onar-m","Yol Yardım — Lastik/jant bakım-onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60025","tr-gold-roadside_assistance-3-yol-ustu-mekanik-ar-za-tespit-onar-m","Yol Yardım — Yol üstü mekanik arıza tespit/onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60026","tr-gold-roadside_assistance-4-arac-cekme-kurtarma","Yol Yardım — Araç çekme/kurtarma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60027","tr-gold-roadside_assistance-5-arac-kilidi-acma","Yol Yardım — Araç kilidi açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60028","tr-gold-roadside_assistance-6-yolda-yak-t-ulast-rma","Yol Yardım — Yolda yakıt ulaştırma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60029","tr-gold-courier-1-ilici-motorlu-kurye","Kurye & Evrak — İliçi motorlu kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60030","tr-gold-courier-2-yurtici-genis-kapsam-dag-t-m-kurye","Kurye & Evrak — Yurtiçi geniş kapsam dağıtım/kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60031","tr-gold-courier-3-yaya-bisikletli-kurye","Kurye & Evrak — Yaya/bisikletli kurye","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60032","tr-gold-furniture-1-haz-r-mobilya-dekorasyon-montaj","Mobilya & Montaj — Hazır mobilya/dekorasyon montajı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60033","tr-gold-furniture-2-ahsap-mobilya-imalat-imalat-kapsaml-onar-m","Mobilya & Montaj — Ahşap mobilya imalatı / imalat kapsamlı onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60034","tr-gold-automotive-1-motor-mekanik-bak-m-ar-za-tespit-ve-onar-m","Otomotiv / Motor Ustası — Motor/mekanik bakım, arıza tespit ve onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60035","tr-gold-automotive-2-otomotiv-elektrik-elektronik-elektromekanik","Otomotiv / Motor Ustası — Otomotiv elektrik/elektronik/elektromekanik","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60036","tr-gold-automotive-3-lastik-jant","Otomotiv / Motor Ustası — Lastik/jant","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60037","tr-gold-automotive-4-govde-kaporta-boya-onar-m","Otomotiv / Motor Ustası — Gövde/kaporta/boya onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"60038","tr-gold-automotive-5-marka-yetkili-servis-iddias","Otomotiv / Motor Ustası — Marka yetkili servis iddiası","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
