"source_id","authority","title","official_url","source_archive_reference","source_archive_sha256","retrieval_status","source_status","legal_approval_status","connector_status","permitted_verification_method","api_contract_or_authorization_evidence","counsel_decision","counsel_evidence_hash"
"UAB_SRC","Ulaştırma ve Altyapı Bakanlığı","SRC / ODY / ÜDY Sık Sorulan Sorular","https://uhdgm.uab.gov.tr/sikca-sorulan-sorular-ve-cevaplari","TR_Official_Source_Registry_v1.json:UAB_SRC; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","UAB / izinli issuer veya kayıtlı yetkili manuel teyit; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"UAB_COURIER_2025","Ulaştırma ve Altyapı Bakanlığı","Motokurye düzenlemesi – 15 Mayıs 2025","https://www.uab.gov.tr/haberler/karayolu-tasima-yoenetmeliginde-degisiklik/","TR_Official_Source_Registry_v1.json:UAB_COURIER_2025; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","UAB / izinli issuer veya kayıtlı yetkili manuel teyit; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"UAB_COURIER_2026","Ulaştırma ve Altyapı Bakanlığı","Karayolu Taşıma Yönetmeliği değişikliği – 16 Mayıs 2026","https://www.uab.gov.tr/haberler/otobues-bileti-12-saat-kalana-kadar-tam-iade-edilebilecek/","TR_Official_Source_Registry_v1.json:UAB_COURIER_2026; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","UAB / izinli issuer veya kayıtlı yetkili manuel teyit; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"ELECTRIC_2026","Çevre, Şehircilik ve İklim Değişikliği Bakanlığı","Elektrik ile ilgili fen adamlarının yetkileri – 2026","https://meslekihizmetler.csb.gov.tr/haberler/elektrik-ile-ilgili-fen-adamlarinin-yetkileri-yeniden-belirlendi-302595","TR_Official_Source_Registry_v1.json:ELECTRIC_2026; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"EPDK_GAS","EPDK","Doğal Gaz Piyasası Sertifika İşlemleri","https://www.epdk.gov.tr/Detay/Icerik/3-0-81/dogal-gazsertifika-islemleri","TR_Official_Source_Registry_v1.json:EPDK_GAS; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","EPDK / dağıtım şirketi sertifika issuer teyidi; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"F_GAS_2026","İklim Değişikliği Başkanlığı","F-Gaz / TS 13905 / 19UY0401-5 / EKOMVET – 2026","https://ozonturkiye.csb.gov.tr/haberler/iklimlendirme-ve-sogutma-sektorunde-iyi-uygulama-ornekleri-egitim-serisi-konya-ve-adana-illerinde-devam-etti-305934","TR_Official_Source_Registry_v1.json:F_GAS_2026; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"SERBIS","Ticaret Bakanlığı","SERBİS Yetkili Servis Sorgulama","https://www.servis.gov.tr/Genel/Sorgu","TR_Official_Source_Registry_v1.json:SERBIS; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","SERBİS/üretici resmi kayıt teyidi; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"TRADE_REGISTRY","Ticaret Bakanlığı / e-Devlet","Ticari işletme, şirket ve esnaf sicil hizmetleri","https://www.turkiye.gov.tr/ticaret-bakanligi","TR_Official_Source_Registry_v1.json:TRADE_REGISTRY; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"GIB","Gelir İdaresi Başkanlığı","2026 işe başlama / mükellefiyet kaynakları","https://www.gib.gov.tr/yardim-kaynaklar/yayinlar","TR_Official_Source_Registry_v1.json:GIB; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"FOREIGN_WORK","Çalışma ve Sosyal Güvenlik Bakanlığı","Çalışma İzni Türleri","https://www.csgb.gov.tr/uigm/calisma-izni/calisma-izni-turleri/","TR_Official_Source_Registry_v1.json:FOREIGN_WORK; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"WORKPLACE_LICENSE","İçişleri Bakanlığı","İşyeri Açma ve Çalışma Ruhsatlarına İlişkin Yönetmelik bağlantısı","https://www.icisleri.gov.tr/strateji/yikob-mevzuat","TR_Official_Source_Registry_v1.json:WORKPLACE_LICENSE; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"MEB_TOW_OPERATOR","Millî Eğitim Bakanlığı","Araç Kurtarma ve Taşıma Kamyonu Operatörü kurs/program kayıtları","https://ookgm.meb.gov.tr/kurumlar.php","TR_Official_Source_Registry_v1.json:MEB_TOW_OPERATOR; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
